Comunidades y ciudades autónomas;País de nacimiento;Periodo;Total
Total Nacional;Italia;2019;16.922
Total Nacional;Italia;2018;18.125
Total Nacional;Italia;2017;18.722
Total Nacional;Italia;2016;15.450
Total Nacional;Italia;2015;14.150
Total Nacional;Italia;2014;11.731
Total Nacional;Italia;2013;9.791
Total Nacional;Italia;2012;9.537
Total Nacional;Italia;2011;8.553
Total Nacional;Italia;2010;7.689
Total Nacional;Italia;2009;7.878
Total Nacional;Italia;2008;9.662
Total Nacional;Países Bajos;2021;5.396
Total Nacional;Países Bajos;2020;3.537
Total Nacional;Países Bajos;2019;4.123
Total Nacional;Países Bajos;2018;4.189
Total Nacional;Países Bajos;2017;3.963
Total Nacional;Países Bajos;2016;3.299
Total Nacional;Países Bajos;2015;2.899
Total Nacional;Países Bajos;2014;2.689
Total Nacional;Países Bajos;2013;2.603
Total Nacional;Países Bajos;2012;2.503
Total Nacional;Países Bajos;2011;2.767
Total Nacional;Países Bajos;2010;2.659
Total Nacional;Países Bajos;2009;2.669
Total Nacional;Países Bajos;2008;3.375
Total Nacional;Polonia;2021;3.249
Total Nacional;Polonia;2020;2.343
Total Nacional;Polonia;2019;3.269
Total Nacional;Polonia;2018;3.365
Total Nacional;Polonia;2017;3.161
Total Nacional;Polonia;2016;2.566
Total Nacional;Polonia;2015;2.387
Total Nacional;Polonia;2014;2.411
Total Nacional;Polonia;2013;2.622
Total Nacional;Polonia;2012;2.781
Total Nacional;Polonia;2011;3.289
Total Nacional;Polonia;2010;3.406
Total Nacional;Polonia;2009;3.712
Total Nacional;Polonia;2008;6.685
Total Nacional;Portugal;2021;4.597
Total Nacional;Portugal;2020;4.043
Total Nacional;Portugal;2019;5.416
Total Nacional;Portugal;2018;5.027
Total Nacional;Portugal;2017;4.765
Total Nacional;Portugal;2016;4.280
Total Nacional;Portugal;2015;3.883
Total Nacional;Portugal;2014;3.825
Total Nacional;Portugal;2013;3.968
Total Nacional;Portugal;2012;4.611
Total Nacional;Portugal;2011;5.502
Total Nacional;Portugal;2010;5.544
Total Nacional;Portugal;2009;7.250
Total Nacional;Portugal;2008;13.005
Total Nacional;Alemania;2021;11.593
Total Nacional;Alemania;2020;7.602
Total Nacional;Alemania;2019;8.929
Total Nacional;Alemania;2018;8.947
Total Nacional;Alemania;2017;8.762
Total Nacional;Alemania;2016;7.061
Total Nacional;Alemania;2015;6.632
Total Nacional;Alemania;2014;6.693
Total Nacional;Alemania;2013;7.088
Total Nacional;Alemania;2012;7.812
Total Nacional;Alemania;2011;7.998
Total Nacional;Alemania;2010;8.193
Total Nacional;Alemania;2009;9.014
Total Nacional;Alemania;2008;11.021
Total Nacional;Rumanía;2021;15.920
Total Nacional;Rumanía;2020;15.048
Total Nacional;Rumanía;2019;25.821
Total Nacional;Rumanía;2018;28.052
Total Nacional;Rumanía;2017;29.470
Total Nacional;Rumanía;2016;27.329
Total Nacional;Rumanía;2015;27.535
Total Nacional;Rumanía;2014;28.638
Total Nacional;Rumanía;2013;21.940
Total Nacional;Rumanía;2012;26.475
Total Nacional;Rumanía;2011;49.889
Total Nacional;Rumanía;2010;51.196
Total Nacional;Rumanía;2009;43.539
Total Nacional;Rumanía;2008;60.794
Total Nacional;Suecia;2021;2.500
Total Nacional;Suecia;2020;1.631
Total Nacional;Suecia;2019;2.548
Total Nacional;Suecia;2018;2.324
Total Nacional;Suecia;2017;2.004
Total Nacional;Suecia;2016;1.595
Total Nacional;Suecia;2015;1.472
Total Nacional;Suecia;2014;1.474
Total Nacional;Suecia;2013;1.383
Total Nacional;Suecia;2012;1.508
Total Nacional;Suecia;2011;1.398
Total Nacional;Suecia;2010;1.434
Total Nacional;Suecia;2009;1.276
Total Nacional;Suecia;2008;1.340
Total Nacional;Lituania;2021;892
Total Nacional;Lituania;2020;721
Total Nacional;Lituania;2019;1.161
Total Nacional;Lituania;2018;1.256
Total Nacional;Lituania;2017;1.260
Total Nacional;Lituania;2016;979
Total Nacional;Lituania;2015;770
Total Nacional;Lituania;2014;690
Total Nacional;Lituania;2013;740
Total Nacional;Lituania;2012;811
Total Nacional;Lituania;2011;1.048
Total Nacional;Lituania;2010;1.276
Total Nacional;Lituania;2009;1.131
Total Nacional;Lituania;2008;1.067
Total Nacional;Otro país de la Unión Europea sin España;2021;5.264
Total Nacional;Otro país de la Unión Europea sin España;2020;4.028
Total Nacional;Otro país de la Unión Europea sin España;2019;5.523
Total Nacional;Otro país de la Unión Europea sin España;2018;5.421
Total Nacional;Otro país de la Unión Europea sin España;2017;5.247
Total Nacional;Otro país de la Unión Europea sin España;2016;4.436
Total Nacional;Otro país de la Unión Europea sin España;2015;4.239
Total Nacional;Otro país de la Unión Europea sin España;2014;3.989
Total Nacional;Otro país de la Unión Europea sin España;2013;4.149
Total Nacional;Otro país de la Unión Europea sin España;2012;4.131
Total Nacional;Otro país de la Unión Europea sin España;2011;4.344
Total Nacional;Otro país de la Unión Europea sin España;2010;3.875
Total Nacional;Otro país de la Unión Europea sin España;2009;3.977
Total Nacional;Otro país de la Unión Europea sin España;2008;4.648
Total Nacional;Europa menos UE27_2020;2021;50.439
Total Nacional;Europa menos UE27_2020;2020;46.305
Total Nacional;Europa menos UE27_2020;2019;""
Total Nacional;Europa menos UE27_2020;2018;""
Total Nacional;Europa menos UE27_2020;2017;""
Total Nacional;Europa menos UE27_2020;2016;""
Total Nacional;Europa menos UE27_2020;2015;""
Total Nacional;Europa menos UE27_2020;2014;""
Total Nacional;Europa menos UE27_2020;2013;""
Total Nacional;Europa menos UE27_2020;2012;""
Total Nacional;Europa menos UE27_2020;2011;""
Total Nacional;Europa menos UE27_2020;2010;""
Total Nacional;Europa menos UE27_2020;2009;""
Total Nacional;Europa menos UE27_2020;2008;""
Total Nacional;Reino Unido;2021;25.570
Total Nacional;Reino Unido;2020;28.926
Total Nacional;Reino Unido;2019;28.833
Total Nacional;Reino Unido;2018;23.799
Total Nacional;Reino Unido;2017;20.773
Total Nacional;Reino Unido;2016;18.068
Total Nacional;Reino Unido;2015;14.677
Total Nacional;Reino Unido;2014;13.870
Total Nacional;Reino Unido;2013;13.678
Total Nacional;Reino Unido;2012;15.788
Total Nacional;Reino Unido;2011;15.405
Total Nacional;Reino Unido;2010;15.796
Total Nacional;Reino Unido;2009;17.508
Total Nacional;Reino Unido;2008;23.419
Total Nacional;Europa menos UE28;2021;""
Total Nacional;Europa menos UE28;2020;""
Total Nacional;Europa menos UE28;2019;30.154
Total Nacional;Europa menos UE28;2018;28.412
Total Nacional;Europa menos UE28;2017;25.224
Total Nacional;Europa menos UE28;2016;21.625
Total Nacional;Europa menos UE28;2015;23.225
Total Nacional;Europa menos UE28;2014;20.829
Total Nacional;Europa menos UE28;2013;17.728
Total Nacional;Europa menos UE28;2012;17.783
Total Nacional;Europa menos UE28;2011;19.864
Total Nacional;Europa menos UE28;2010;17.596
Total Nacional;Europa menos UE28;2009;16.840
Total Nacional;Europa menos UE28;2008;22.347
Total Nacional;Noruega;2021;1.373
Total Nacional;Noruega;2020;861
Total Nacional;Noruega;2019;1.257
Total Nacional;Noruega;2018;1.216
Total Nacional;Noruega;2017;1.127
Total Nacional;Noruega;2016;998
Total Nacional;Noruega;2015;964
Total Nacional;Noruega;2014;1.172
Total Nacional;Noruega;2013;1.146
Total Nacional;Noruega;2012;1.259
Total Nacional;Noruega;2011;1.348
Total Nacional;Noruega;2010;1.288
Total Nacional;Noruega;2009;1.126
Total Nacional;Noruega;2008;1.044
Total Nacional;Suiza;2021;2.034
Total Nacional;Suiza;2020;1.558
Total Nacional;Suiza;2019;1.883
Total Nacional;Suiza;2018;1.844
Total Nacional;Suiza;2017;1.884
Total Nacional;Suiza;2016;1.476
Total Nacional;Suiza;2015;1.311
Total Nacional;Suiza;2014;1.225
Total Nacional;Suiza;2013;1.089
Total Nacional;Suiza;2012;1.183
Total Nacional;Suiza;2011;1.148
Total Nacional;Suiza;2010;1.116
Total Nacional;Suiza;2009;1.158
Total Nacional;Suiza;2008;1.359
Total Nacional;Ucrania;2021;5.450
Total Nacional;Ucrania;2020;4.371
Total Nacional;Ucrania;2019;8.278
Total Nacional;Ucrania;2018;8.356
Total Nacional;Ucrania;2017;7.938
Total Nacional;Ucrania;2016;6.902
Total Nacional;Ucrania;2015;8.835
Total Nacional;Ucrania;2014;5.660
Total Nacional;Ucrania;2013;3.341
Total Nacional;Ucrania;2012;3.663
Total Nacional;Ucrania;2011;5.083
Total Nacional;Ucrania;2010;4.890
Total Nacional;Ucrania;2009;4.687
Total Nacional;Ucrania;2008;6.836
Total Nacional;Moldavia;2021;1.393
Total Nacional;Moldavia;2020;1.211
Total Nacional;Moldavia;2019;1.929
Total Nacional;Moldavia;2018;1.835
Total Nacional;Moldavia;2017;1.599
Total Nacional;Moldavia;2016;1.322
Total Nacional;Moldavia;2015;1.213
Total Nacional;Moldavia;2014;1.003
Total Nacional;Moldavia;2013;650
Total Nacional;Moldavia;2012;749
Total Nacional;Moldavia;2011;952
Total Nacional;Moldavia;2010;985
Total Nacional;Moldavia;2009;1.359
Total Nacional;Moldavia;2008;2.329
Total Nacional;Rusia;2021;8.679
Total Nacional;Rusia;2020;5.182
Total Nacional;Rusia;2019;9.531
Total Nacional;Rusia;2018;8.565
Total Nacional;Rusia;2017;7.473
Total Nacional;Rusia;2016;6.681
Total Nacional;Rusia;2015;7.422
Total Nacional;Rusia;2014;8.533
Total Nacional;Rusia;2013;8.731
Total Nacional;Rusia;2012;7.931
Total Nacional;Rusia;2011;7.924
Total Nacional;Rusia;2010;6.400
Total Nacional;Rusia;2009;5.567
Total Nacional;Rusia;2008;6.104
Total Nacional;Otro país del resto de Europa;2021;5.940
Total Nacional;Otro país del resto de Europa;2020;4.196
Total Nacional;Otro país del resto de Europa;2019;7.276
Total Nacional;Otro país del resto de Europa;2018;6.596
Total Nacional;Otro país del resto de Europa;2017;5.203
