Comunidades y ciudades autónomas;País de nacimiento;Periodo;Total
03 Asturias, Principado de;México;2015;80
03 Asturias, Principado de;México;2014;87
03 Asturias, Principado de;México;2013;87
03 Asturias, Principado de;México;2012;97
03 Asturias, Principado de;México;2011;144
03 Asturias, Principado de;México;2010;127
03 Asturias, Principado de;México;2009;130
03 Asturias, Principado de;México;2008;146
03 Asturias, Principado de;Canadá;2021;10
03 Asturias, Principado de;Canadá;2020;4
03 Asturias, Principado de;Canadá;2019;14
03 Asturias, Principado de;Canadá;2018;9
03 Asturias, Principado de;Canadá;2017;9
03 Asturias, Principado de;Canadá;2016;5
03 Asturias, Principado de;Canadá;2015;5
03 Asturias, Principado de;Canadá;2014;4
03 Asturias, Principado de;Canadá;2013;3
03 Asturias, Principado de;Canadá;2012;1
03 Asturias, Principado de;Canadá;2011;2
03 Asturias, Principado de;Canadá;2010;7
03 Asturias, Principado de;Canadá;2009;8
03 Asturias, Principado de;Canadá;2008;4
03 Asturias, Principado de;Centro América y Caribe;2021;741
03 Asturias, Principado de;Centro América y Caribe;2020;607
03 Asturias, Principado de;Centro América y Caribe;2019;1.103
03 Asturias, Principado de;Centro América y Caribe;2018;891
03 Asturias, Principado de;Centro América y Caribe;2017;687
03 Asturias, Principado de;Centro América y Caribe;2016;589
03 Asturias, Principado de;Centro América y Caribe;2015;502
03 Asturias, Principado de;Centro América y Caribe;2014;482
03 Asturias, Principado de;Centro América y Caribe;2013;504
03 Asturias, Principado de;Centro América y Caribe;2012;657
03 Asturias, Principado de;Centro América y Caribe;2011;722
03 Asturias, Principado de;Centro América y Caribe;2010;634
03 Asturias, Principado de;Centro América y Caribe;2009;582
03 Asturias, Principado de;Centro América y Caribe;2008;767
03 Asturias, Principado de;Cuba;2021;397
03 Asturias, Principado de;Cuba;2020;231
03 Asturias, Principado de;Cuba;2019;466
03 Asturias, Principado de;Cuba;2018;371
03 Asturias, Principado de;Cuba;2017;258
03 Asturias, Principado de;Cuba;2016;225
03 Asturias, Principado de;Cuba;2015;212
03 Asturias, Principado de;Cuba;2014;221
03 Asturias, Principado de;Cuba;2013;225
03 Asturias, Principado de;Cuba;2012;296
03 Asturias, Principado de;Cuba;2011;361
03 Asturias, Principado de;Cuba;2010;345
03 Asturias, Principado de;Cuba;2009;200
03 Asturias, Principado de;Cuba;2008;250
03 Asturias, Principado de;Honduras;2021;73
03 Asturias, Principado de;Honduras;2020;92
03 Asturias, Principado de;Honduras;2019;174
03 Asturias, Principado de;Honduras;2018;126
03 Asturias, Principado de;Honduras;2017;98
03 Asturias, Principado de;Honduras;2016;78
03 Asturias, Principado de;Honduras;2015;65
03 Asturias, Principado de;Honduras;2014;39
03 Asturias, Principado de;Honduras;2013;24
03 Asturias, Principado de;Honduras;2012;47
03 Asturias, Principado de;Honduras;2011;39
03 Asturias, Principado de;Honduras;2010;31
03 Asturias, Principado de;Honduras;2009;19
03 Asturias, Principado de;Honduras;2008;17
03 Asturias, Principado de;Nicaragua;2021;12
03 Asturias, Principado de;Nicaragua;2020;68
03 Asturias, Principado de;Nicaragua;2019;94
03 Asturias, Principado de;Nicaragua;2018;60
03 Asturias, Principado de;Nicaragua;2017;13
03 Asturias, Principado de;Nicaragua;2016;11
03 Asturias, Principado de;Nicaragua;2015;12
03 Asturias, Principado de;Nicaragua;2014;9
03 Asturias, Principado de;Nicaragua;2013;10
03 Asturias, Principado de;Nicaragua;2012;13
03 Asturias, Principado de;Nicaragua;2011;11
03 Asturias, Principado de;Nicaragua;2010;7
03 Asturias, Principado de;Nicaragua;2009;11
03 Asturias, Principado de;Nicaragua;2008;21
03 Asturias, Principado de;República Dominicana;2021;187
03 Asturias, Principado de;República Dominicana;2020;136
03 Asturias, Principado de;República Dominicana;2019;257
03 Asturias, Principado de;República Dominicana;2018;242
03 Asturias, Principado de;República Dominicana;2017;250
03 Asturias, Principado de;República Dominicana;2016;214
03 Asturias, Principado de;República Dominicana;2015;177
03 Asturias, Principado de;República Dominicana;2014;174
03 Asturias, Principado de;República Dominicana;2013;225
03 Asturias, Principado de;República Dominicana;2012;265
03 Asturias, Principado de;República Dominicana;2011;262
03 Asturias, Principado de;República Dominicana;2010;196
03 Asturias, Principado de;República Dominicana;2009;261
03 Asturias, Principado de;República Dominicana;2008;432
03 Asturias, Principado de;Otro país de Centro América y Caribe;2021;72
03 Asturias, Principado de;Otro país de Centro América y Caribe;2020;80
03 Asturias, Principado de;Otro país de Centro América y Caribe;2019;112
03 Asturias, Principado de;Otro país de Centro América y Caribe;2018;92
03 Asturias, Principado de;Otro país de Centro América y Caribe;2017;68
03 Asturias, Principado de;Otro país de Centro América y Caribe;2016;60
03 Asturias, Principado de;Otro país de Centro América y Caribe;2015;36
03 Asturias, Principado de;Otro país de Centro América y Caribe;2014;38
03 Asturias, Principado de;Otro país de Centro América y Caribe;2013;20
03 Asturias, Principado de;Otro país de Centro América y Caribe;2012;37
03 Asturias, Principado de;Otro país de Centro América y Caribe;2011;49
03 Asturias, Principado de;Otro país de Centro América y Caribe;2010;55
03 Asturias, Principado de;Otro país de Centro América y Caribe;2009;92
03 Asturias, Principado de;Otro país de Centro América y Caribe;2008;47
03 Asturias, Principado de;Sudamérica;2021;1.921
03 Asturias, Principado de;Sudamérica;2020;2.062
03 Asturias, Principado de;Sudamérica;2019;3.724
03 Asturias, Principado de;Sudamérica;2018;2.726
03 Asturias, Principado de;Sudamérica;2017;1.972
03 Asturias, Principado de;Sudamérica;2016;1.678
03 Asturias, Principado de;Sudamérica;2015;988
03 Asturias, Principado de;Sudamérica;2014;798
03 Asturias, Principado de;Sudamérica;2013;723
03 Asturias, Principado de;Sudamérica;2012;873
03 Asturias, Principado de;Sudamérica;2011;1.374
03 Asturias, Principado de;Sudamérica;2010;1.497
03 Asturias, Principado de;Sudamérica;2009;1.869
03 Asturias, Principado de;Sudamérica;2008;3.028
03 Asturias, Principado de;Argentina;2021;350
03 Asturias, Principado de;Argentina;2020;194
03 Asturias, Principado de;Argentina;2019;269
03 Asturias, Principado de;Argentina;2018;146
03 Asturias, Principado de;Argentina;2017;125
03 Asturias, Principado de;Argentina;2016;133
03 Asturias, Principado de;Argentina;2015;91
03 Asturias, Principado de;Argentina;2014;61
03 Asturias, Principado de;Argentina;2013;48
03 Asturias, Principado de;Argentina;2012;62
03 Asturias, Principado de;Argentina;2011;98
03 Asturias, Principado de;Argentina;2010;95
03 Asturias, Principado de;Argentina;2009;172
03 Asturias, Principado de;Argentina;2008;245
03 Asturias, Principado de;Bolivia;2021;13
03 Asturias, Principado de;Bolivia;2020;12
03 Asturias, Principado de;Bolivia;2019;19
03 Asturias, Principado de;Bolivia;2018;39
03 Asturias, Principado de;Bolivia;2017;28
03 Asturias, Principado de;Bolivia;2016;33
03 Asturias, Principado de;Bolivia;2015;18
03 Asturias, Principado de;Bolivia;2014;20
03 Asturias, Principado de;Bolivia;2013;21
03 Asturias, Principado de;Bolivia;2012;30
03 Asturias, Principado de;Bolivia;2011;22
03 Asturias, Principado de;Bolivia;2010;41
03 Asturias, Principado de;Bolivia;2009;23
03 Asturias, Principado de;Bolivia;2008;31
03 Asturias, Principado de;Brasil;2021;112
03 Asturias, Principado de;Brasil;2020;158
03 Asturias, Principado de;Brasil;2019;314
03 Asturias, Principado de;Brasil;2018;281
03 Asturias, Principado de;Brasil;2017;238
03 Asturias, Principado de;Brasil;2016;233
03 Asturias, Principado de;Brasil;2015;157
03 Asturias, Principado de;Brasil;2014;138
03 Asturias, Principado de;Brasil;2013;127
03 Asturias, Principado de;Brasil;2012;164
03 Asturias, Principado de;Brasil;2011;224
03 Asturias, Principado de;Brasil;2010;289
03 Asturias, Principado de;Brasil;2009;367
03 Asturias, Principado de;Brasil;2008;636
03 Asturias, Principado de;Colombia;2021;586
03 Asturias, Principado de;Colombia;2020;656
03 Asturias, Principado de;Colombia;2019;1.086
03 Asturias, Principado de;Colombia;2018;629
03 Asturias, Principado de;Colombia;2017;372
03 Asturias, Principado de;Colombia;2016;301
03 Asturias, Principado de;Colombia;2015;145
03 Asturias, Principado de;Colombia;2014;112
03 Asturias, Principado de;Colombia;2013;133
03 Asturias, Principado de;Colombia;2012;137
03 Asturias, Principado de;Colombia;2011;229
03 Asturias, Principado de;Colombia;2010;269
03 Asturias, Principado de;Colombia;2009;374
03 Asturias, Principado de;Colombia;2008;598
03 Asturias, Principado de;Chile;2021;38
03 Asturias, Principado de;Chile;2020;37
03 Asturias, Principado de;Chile;2019;37
03 Asturias, Principado de;Chile;2018;43
03 Asturias, Principado de;Chile;2017;41
03 Asturias, Principado de;Chile;2016;51
03 Asturias, Principado de;Chile;2015;35
03 Asturias, Principado de;Chile;2014;33
03 Asturias, Principado de;Chile;2013;27
03 Asturias, Principado de;Chile;2012;41
03 Asturias, Principado de;Chile;2011;46
03 Asturias, Principado de;Chile;2010;45
03 Asturias, Principado de;Chile;2009;42
03 Asturias, Principado de;Chile;2008;52
03 Asturias, Principado de;Ecuador;2021;90
03 Asturias, Principado de;Ecuador;2020;86
03 Asturias, Principado de;Ecuador;2019;133
03 Asturias, Principado de;Ecuador;2018;133
03 Asturias, Principado de;Ecuador;2017;120
03 Asturias, Principado de;Ecuador;2016;158
03 Asturias, Principado de;Ecuador;2015;60
03 Asturias, Principado de;Ecuador;2014;67
03 Asturias, Principado de;Ecuador;2013;86
03 Asturias, Principado de;Ecuador;2012;82
03 Asturias, Principado de;Ecuador;2011;111
03 Asturias, Principado de;Ecuador;2010;127
03 Asturias, Principado de;Ecuador;2009;219
03 Asturias, Principado de;Ecuador;2008;401
03 Asturias, Principado de;Paraguay;2021;100
03 Asturias, Principado de;Paraguay;2020;167
03 Asturias, Principado de;Paraguay;2019;339
03 Asturias, Principado de;Paraguay;2018;238
03 Asturias, Principado de;Paraguay;2017;222
03 Asturias, Principado de;Paraguay;2016;194
03 Asturias, Principado de;Paraguay;2015;116
03 Asturias, Principado de;Paraguay;2014;115
03 Asturias, Principado de;Paraguay;2013;111
03 Asturias, Principado de;Paraguay;2012;111
03 Asturias, Principado de;Paraguay;2011;268
03 Asturias, Principado de;Paraguay;2010;268
03 Asturias, Principado de;Paraguay;2009;314
03 Asturias, Principado de;Paraguay;2008;516
03 Asturias, Principado de;Perú;2021;116
03 Asturias, Principado de;Perú;2020;167
03 Asturias, Principado de;Perú;2019;240
03 Asturias, Principado de;Perú;2018;145
03 Asturias, Principado de;Perú;2017;114
03 Asturias, Principado de;Perú;2016;92
03 Asturias, Principado de;Perú;2015;59
03 Asturias, Principado de;Perú;2014;49
03 Asturias, Principado de;Perú;2013;53
03 Asturias, Principado de;Perú;2012;80
03 Asturias, Principado de;Perú;2011;118
03 Asturias, Principado de;Perú;2010;101
03 Asturias, Principado de;Perú;2009;147
03 Asturias, Principado de;Perú;2008;216
03 Asturias, Principado de;Uruguay;2021;23
03 Asturias, Principado de;Uruguay;2020;36
03 Asturias, Principado de;Uruguay;2019;44
03 Asturias, Principado de;Uruguay;2018;42
03 Asturias, Principado de;Uruguay;2017;26
03 Asturias, Principado de;Uruguay;2016;27
03 Asturias, Principado de;Uruguay;2015;28
03 Asturias, Principado de;Uruguay;2014;19
03 Asturias, Principado de;Uruguay;2013;9
03 Asturias, Principado de;Uruguay;2012;12
03 Asturias, Principado de;Uruguay;2011;16
03 Asturias, Principado de;Uruguay;2010;26
03 Asturias, Principado de;Uruguay;2009;35
03 Asturias, Principado de;Uruguay;2008;100
03 Asturias, Principado de;Venezuela;2021;493
03 Asturias, Principado de;Venezuela;2020;549
03 Asturias, Principado de;Venezuela;2019;1.243
03 Asturias, Principado de;Venezuela;2018;1.029
03 Asturias, Principado de;Venezuela;2017;686
03 Asturias, Principado de;Venezuela;2016;455
03 Asturias, Principado de;Venezuela;2015;279
03 Asturias, Principado de;Venezuela;2014;183
03 Asturias, Principado de;Venezuela;2013;109
03 Asturias, Principado de;Venezuela;2012;154
03 Asturias, Principado de;Venezuela;2011;242
03 Asturias, Principado de;Venezuela;2010;235
03 Asturias, Principado de;Venezuela;2009;176
03 Asturias, Principado de;Venezuela;2008;232
03 Asturias, Principado de;Otro país de Sudamérica;2021;0
03 Asturias, Principado de;Otro país de Sudamérica;2020;0
03 Asturias, Principado de;Otro país de Sudamérica;2019;0
03 Asturias, Principado de;Otro país de Sudamérica;2018;1
03 Asturias, Principado de;Otro país de Sudamérica;2017;0
03 Asturias, Principado de;Otro país de Sudamérica;2016;""
03 Asturias, Principado de;Otro país de Sudamérica;2015;""
03 Asturias, Principado de;Otro país de Sudamérica;2014;""
03 Asturias, Principado de;Otro país de Sudamérica;2013;""
03 Asturias, Principado de;Otro país de Sudamérica;2012;""
03 Asturias, Principado de;Otro país de Sudamérica;2011;""
03 Asturias, Principado de;Otro país de Sudamérica;2010;""
03 Asturias, Principado de;Otro país de Sudamérica;2009;""
03 Asturias, Principado de;Otro país de Sudamérica;2008;""
03 Asturias, Principado de;Asia;2021;230
03 Asturias, Principado de;Asia;2020;149
03 Asturias, Principado de;Asia;2019;272
03 Asturias, Principado de;Asia;2018;253
03 Asturias, Principado de;Asia;2017;236
03 Asturias, Principado de;Asia;2016;260
03 Asturias, Principado de;Asia;2015;195
03 Asturias, Principado de;Asia;2014;183
03 Asturias, Principado de;Asia;2013;228
03 Asturias, Principado de;Asia;2012;254
03 Asturias, Principado de;Asia;2011;259
03 Asturias, Principado de;Asia;2010;206
03 Asturias, Principado de;Asia;2009;207
03 Asturias, Principado de;Asia;2008;266
03 Asturias, Principado de;Bangladesh;2021;9
03 Asturias, Principado de;Bangladesh;2020;9
03 Asturias, Principado de;Bangladesh;2019;7
03 Asturias, Principado de;Bangladesh;2018;3
03 Asturias, Principado de;Bangladesh;2017;4
03 Asturias, Principado de;Bangladesh;2016;3
03 Asturias, Principado de;Bangladesh;2015;5
03 Asturias, Principado de;Bangladesh;2014;6
03 Asturias, Principado de;Bangladesh;2013;6
03 Asturias, Principado de;Bangladesh;2012;13
03 Asturias, Principado de;Bangladesh;2011;5
03 Asturias, Principado de;Bangladesh;2010;7
03 Asturias, Principado de;Bangladesh;2009;11
03 Asturias, Principado de;Bangladesh;2008;4
03 Asturias, Principado de;China;2021;25
03 Asturias, Principado de;China;2020;21
03 Asturias, Principado de;China;2019;59
03 Asturias, Principado de;China;2018;64
03 Asturias, Principado de;China;2017;71
03 Asturias, Principado de;China;2016;84
03 Asturias, Principado de;China;2015;77
03 Asturias, Principado de;China;2014;64
03 Asturias, Principado de;China;2013;76
03 Asturias, Principado de;China;2012;104
03 Asturias, Principado de;China;2011;83
03 Asturias, Principado de;China;2010;69
03 Asturias, Principado de;China;2009;77
03 Asturias, Principado de;China;2008;162
03 Asturias, Principado de;Filipinas;2021;13
03 Asturias, Principado de;Filipinas;2020;11
03 Asturias, Principado de;Filipinas;2019;15
03 Asturias, Principado de;Filipinas;2018;18
03 Asturias, Principado de;Filipinas;2017;16
03 Asturias, Principado de;Filipinas;2016;10
03 Asturias, Principado de;Filipinas;2015;14
03 Asturias, Principado de;Filipinas;2014;9
03 Asturias, Principado de;Filipinas;2013;10
03 Asturias, Principado de;Filipinas;2012;20
03 Asturias, Principado de;Filipinas;2011;17
03 Asturias, Principado de;Filipinas;2010;13
03 Asturias, Principado de;Filipinas;2009;46
03 Asturias, Principado de;Filipinas;2008;20
03 Asturias, Principado de;India;2021;9
03 Asturias, Principado de;India;2020;12
03 Asturias, Principado de;India;2019;33
03 Asturias, Principado de;India;2018;30
03 Asturias, Principado de;India;2017;13
03 Asturias, Principado de;India;2016;15
03 Asturias, Principado de;India;2015;11
03 Asturias, Principado de;India;2014;12
03 Asturias, Principado de;India;2013;25
03 Asturias, Principado de;India;2012;9
03 Asturias, Principado de;India;2011;15
03 Asturias, Principado de;India;2010;15
03 Asturias, Principado de;India;2009;17
03 Asturias, Principado de;India;2008;8
03 Asturias, Principado de;Pakistán;2021;51
03 Asturias, Principado de;Pakistán;2020;25
03 Asturias, Principado de;Pakistán;2019;51
03 Asturias, Principado de;Pakistán;2018;43
03 Asturias, Principado de;Pakistán;2017;30
03 Asturias, Principado de;Pakistán;2016;40
03 Asturias, Principado de;Pakistán;2015;31
03 Asturias, Principado de;Pakistán;2014;28
03 Asturias, Principado de;Pakistán;2013;47
03 Asturias, Principado de;Pakistán;2012;54
03 Asturias, Principado de;Pakistán;2011;74
03 Asturias, Principado de;Pakistán;2010;51
03 Asturias, Principado de;Pakistán;2009;12
03 Asturias, Principado de;Pakistán;2008;19
03 Asturias, Principado de;Otro país de Asia;2021;123
03 Asturias, Principado de;Otro país de Asia;2020;71
03 Asturias, Principado de;Otro país de Asia;2019;107
03 Asturias, Principado de;Otro país de Asia;2018;95
03 Asturias, Principado de;Otro país de Asia;2017;102
03 Asturias, Principado de;Otro país de Asia;2016;108
03 Asturias, Principado de;Otro país de Asia;2015;56
03 Asturias, Principado de;Otro país de Asia;2014;65
03 Asturias, Principado de;Otro país de Asia;2013;64
03 Asturias, Principado de;Otro país de Asia;2012;54
03 Asturias, Principado de;Otro país de Asia;2011;65
03 Asturias, Principado de;Otro país de Asia;2010;50
03 Asturias, Principado de;Otro país de Asia;2009;44
03 Asturias, Principado de;Otro país de Asia;2008;53
03 Asturias, Principado de;Oceanía ;2021;14
03 Asturias, Principado de;Oceanía ;2020;2
03 Asturias, Principado de;Oceanía ;2019;15
03 Asturias, Principado de;Oceanía ;2018;16
03 Asturias, Principado de;Oceanía ;2017;19
03 Asturias, Principado de;Oceanía ;2016;9
03 Asturias, Principado de;Oceanía ;2015;22
03 Asturias, Principado de;Oceanía ;2014;5
03 Asturias, Principado de;Oceanía ;2013;14
03 Asturias, Principado de;Oceanía ;2012;4
03 Asturias, Principado de;Oceanía ;2011;7
03 Asturias, Principado de;Oceanía ;2010;4
03 Asturias, Principado de;Oceanía ;2009;1
03 Asturias, Principado de;Oceanía ;2008;11
04 Balears, Illes;Total;2021;17.576
04 Balears, Illes;Total;2020;17.001
04 Balears, Illes;Total;2019;26.096
04 Balears, Illes;Total;2018;23.323
04 Balears, Illes;Total;2017;20.196
04 Balears, Illes;Total;2016;15.130
04 Balears, Illes;Total;2015;12.535
04 Balears, Illes;Total;2014;11.612
04 Balears, Illes;Total;2013;11.659
04 Balears, Illes;Total;2012;12.015
04 Balears, Illes;Total;2011;12.544
04 Balears, Illes;Total;2010;11.618
04 Balears, Illes;Total;2009;15.048
04 Balears, Illes;Total;2008;22.323
04 Balears, Illes;España;2021;645
04 Balears, Illes;España;2020;567
04 Balears, Illes;España;2019;685
04 Balears, Illes;España;2018;782
04 Balears, Illes;España;2017;877
04 Balears, Illes;España;2016;780
04 Balears, Illes;España;2015;644
04 Balears, Illes;España;2014;538
04 Balears, Illes;España;2013;568
04 Balears, Illes;España;2012;550
04 Balears, Illes;España;2011;394
04 Balears, Illes;España;2010;355
04 Balears, Illes;España;2009;391
04 Balears, Illes;España;2008;358
04 Balears, Illes;UE27_2020 sin España;2021;5.104
04 Balears, Illes;UE27_2020 sin España;2020;4.076
04 Balears, Illes;UE27_2020 sin España;2019;""
04 Balears, Illes;UE27_2020 sin España;2018;""
04 Balears, Illes;UE27_2020 sin España;2017;""
04 Balears, Illes;UE27_2020 sin España;2016;""
04 Balears, Illes;UE27_2020 sin España;2015;""
04 Balears, Illes;UE27_2020 sin España;2014;""
04 Balears, Illes;UE27_2020 sin España;2013;""
04 Balears, Illes;UE27_2020 sin España;2012;""
04 Balears, Illes;UE27_2020 sin España;2011;""
04 Balears, Illes;UE27_2020 sin España;2010;""
04 Balears, Illes;UE27_2020 sin España;2009;""
04 Balears, Illes;UE27_2020 sin España;2008;""
04 Balears, Illes;UE28 sin España;2021;""
04 Balears, Illes;UE28 sin España;2020;""
04 Balears, Illes;UE28 sin España;2019;7.154
04 Balears, Illes;UE28 sin España;2018;7.514
04 Balears, Illes;UE28 sin España;2017;7.627
04 Balears, Illes;UE28 sin España;2016;5.640
04 Balears, Illes;UE28 sin España;2015;5.372
04 Balears, Illes;UE28 sin España;2014;5.420
04 Balears, Illes;UE28 sin España;2013;5.820
04 Balears, Illes;UE28 sin España;2012;5.888
04 Balears, Illes;UE28 sin España;2011;5.774
04 Balears, Illes;UE28 sin España;2010;5.299
04 Balears, Illes;UE28 sin España;2009;5.854
04 Balears, Illes;UE28 sin España;2008;7.361
04 Balears, Illes;Bélgica;2021;129
04 Balears, Illes;Bélgica;2020;77
04 Balears, Illes;Bélgica;2019;101
04 Balears, Illes;Bélgica;2018;104
04 Balears, Illes;Bélgica;2017;103
04 Balears, Illes;Bélgica;2016;91
04 Balears, Illes;Bélgica;2015;95
04 Balears, Illes;Bélgica;2014;59
04 Balears, Illes;Bélgica;2013;80
04 Balears, Illes;Bélgica;2012;87
04 Balears, Illes;Bélgica;2011;70
04 Balears, Illes;Bélgica;2010;66
04 Balears, Illes;Bélgica;2009;71
04 Balears, Illes;Bélgica;2008;75
04 Balears, Illes;Bulgaria;2021;110
04 Balears, Illes;Bulgaria;2020;132
04 Balears, Illes;Bulgaria;2019;264
04 Balears, Illes;Bulgaria;2018;286
04 Balears, Illes;Bulgaria;2017;320
04 Balears, Illes;Bulgaria;2016;253
04 Balears, Illes;Bulgaria;2015;298
04 Balears, Illes;Bulgaria;2014;273
04 Balears, Illes;Bulgaria;2013;262
04 Balears, Illes;Bulgaria;2012;326
04 Balears, Illes;Bulgaria;2011;522
04 Balears, Illes;Bulgaria;2010;412
04 Balears, Illes;Bulgaria;2009;407
04 Balears, Illes;Bulgaria;2008;654
04 Balears, Illes;Dinamarca;2021;39
04 Balears, Illes;Dinamarca;2020;34
04 Balears, Illes;Dinamarca;2019;41
04 Balears, Illes;Dinamarca;2018;46
04 Balears, Illes;Dinamarca;2017;28
04 Balears, Illes;Dinamarca;2016;28
04 Balears, Illes;Dinamarca;2015;36
04 Balears, Illes;Dinamarca;2014;30
04 Balears, Illes;Dinamarca;2013;33
04 Balears, Illes;Dinamarca;2012;45
04 Balears, Illes;Dinamarca;2011;29
04 Balears, Illes;Dinamarca;2010;22
04 Balears, Illes;Dinamarca;2009;37
04 Balears, Illes;Dinamarca;2008;32
04 Balears, Illes;Finlandia;2021;22
04 Balears, Illes;Finlandia;2020;19
04 Balears, Illes;Finlandia;2019;24
04 Balears, Illes;Finlandia;2018;29
04 Balears, Illes;Finlandia;2017;29
04 Balears, Illes;Finlandia;2016;31
04 Balears, Illes;Finlandia;2015;10
04 Balears, Illes;Finlandia;2014;20
04 Balears, Illes;Finlandia;2013;16
04 Balears, Illes;Finlandia;2012;16
04 Balears, Illes;Finlandia;2011;10
04 Balears, Illes;Finlandia;2010;7
04 Balears, Illes;Finlandia;2009;13
04 Balears, Illes;Finlandia;2008;8
04 Balears, Illes;Francia;2021;663
04 Balears, Illes;Francia;2020;566
04 Balears, Illes;Francia;2019;578
04 Balears, Illes;Francia;2018;630
04 Balears, Illes;Francia;2017;637
04 Balears, Illes;Francia;2016;429
04 Balears, Illes;Francia;2015;431
04 Balears, Illes;Francia;2014;434
04 Balears, Illes;Francia;2013;495
04 Balears, Illes;Francia;2012;431
04 Balears, Illes;Francia;2011;382
04 Balears, Illes;Francia;2010;321
04 Balears, Illes;Francia;2009;418
04 Balears, Illes;Francia;2008;397
04 Balears, Illes;Irlanda;2021;129
04 Balears, Illes;Irlanda;2020;54
04 Balears, Illes;Irlanda;2019;77
04 Balears, Illes;Irlanda;2018;65
04 Balears, Illes;Irlanda;2017;79
04 Balears, Illes;Irlanda;2016;32
04 Balears, Illes;Irlanda;2015;44
04 Balears, Illes;Irlanda;2014;30
04 Balears, Illes;Irlanda;2013;62
04 Balears, Illes;Irlanda;2012;65
04 Balears, Illes;Irlanda;2011;30
04 Balears, Illes;Irlanda;2010;35
04 Balears, Illes;Irlanda;2009;45
04 Balears, Illes;Irlanda;2008;40
04 Balears, Illes;Italia;2021;984
04 Balears, Illes;Italia;2020;958
04 Balears, Illes;Italia;2019;1.441
04 Balears, Illes;Italia;2018;1.619
04 Balears, Illes;Italia;2017;1.717
04 Balears, Illes;Italia;2016;1.173
04 Balears, Illes;Italia;2015;1.130
04 Balears, Illes;Italia;2014;1.009
04 Balears, Illes;Italia;2013;1.036
04 Balears, Illes;Italia;2012;947
04 Balears, Illes;Italia;2011;603
04 Balears, Illes;Italia;2010;433
04 Balears, Illes;Italia;2009;547
04 Balears, Illes;Italia;2008;564
04 Balears, Illes;Países Bajos;2021;325
04 Balears, Illes;Países Bajos;2020;200
04 Balears, Illes;Países Bajos;2019;231
04 Balears, Illes;Países Bajos;2018;253
04 Balears, Illes;Países Bajos;2017;269
04 Balears, Illes;Países Bajos;2016;191
04 Balears, Illes;Países Bajos;2015;174
04 Balears, Illes;Países Bajos;2014;166
04 Balears, Illes;Países Bajos;2013;169
04 Balears, Illes;Países Bajos;2012;189
04 Balears, Illes;Países Bajos;2011;141
04 Balears, Illes;Países Bajos;2010;156
04 Balears, Illes;Países Bajos;2009;125
04 Balears, Illes;Países Bajos;2008;157
04 Balears, Illes;Polonia;2021;170
04 Balears, Illes;Polonia;2020;112
04 Balears, Illes;Polonia;2019;215
04 Balears, Illes;Polonia;2018;213
04 Balears, Illes;Polonia;2017;216
04 Balears, Illes;Polonia;2016;156
04 Balears, Illes;Polonia;2015;172
04 Balears, Illes;Polonia;2014;176
04 Balears, Illes;Polonia;2013;206
04 Balears, Illes;Polonia;2012;204
04 Balears, Illes;Polonia;2011;238
04 Balears, Illes;Polonia;2010;235
04 Balears, Illes;Polonia;2009;261
04 Balears, Illes;Polonia;2008;398
04 Balears, Illes;Portugal;2021;85
04 Balears, Illes;Portugal;2020;59
04 Balears, Illes;Portugal;2019;135
04 Balears, Illes;Portugal;2018;120
04 Balears, Illes;Portugal;2017;111
04 Balears, Illes;Portugal;2016;110
04 Balears, Illes;Portugal;2015;93
04 Balears, Illes;Portugal;2014;87
04 Balears, Illes;Portugal;2013;77
04 Balears, Illes;Portugal;2012;96
04 Balears, Illes;Portugal;2011;81
04 Balears, Illes;Portugal;2010;79
04 Balears, Illes;Portugal;2009;99
04 Balears, Illes;Portugal;2008;260
04 Balears, Illes;Alemania;2021;1.627
04 Balears, Illes;Alemania;2020;1.119
04 Balears, Illes;Alemania;2019;1.254
04 Balears, Illes;Alemania;2018;1.441
04 Balears, Illes;Alemania;2017;1.463
04 Balears, Illes;Alemania;2016;1.098
04 Balears, Illes;Alemania;2015;1.074
04 Balears, Illes;Alemania;2014;1.159
04 Balears, Illes;Alemania;2013;1.395
04 Balears, Illes;Alemania;2012;1.435
04 Balears, Illes;Alemania;2011;1.421
04 Balears, Illes;Alemania;2010;1.384
04 Balears, Illes;Alemania;2009;1.711
04 Balears, Illes;Alemania;2008;1.940
04 Balears, Illes;Rumanía;2021;318
04 Balears, Illes;Rumanía;2020;337
04 Balears, Illes;Rumanía;2019;587
04 Balears, Illes;Rumanía;2018;723
04 Balears, Illes;Rumanía;2017;721
04 Balears, Illes;Rumanía;2016;594
04 Balears, Illes;Rumanía;2015;545
04 Balears, Illes;Rumanía;2014;629
04 Balears, Illes;Rumanía;2013;533
04 Balears, Illes;Rumanía;2012;602
04 Balears, Illes;Rumanía;2011;907
04 Balears, Illes;Rumanía;2010;735
04 Balears, Illes;Rumanía;2009;638
04 Balears, Illes;Rumanía;2008;1.160
04 Balears, Illes;Suecia;2021;173
04 Balears, Illes;Suecia;2020;135
04 Balears, Illes;Suecia;2019;269
04 Balears, Illes;Suecia;2018;185
04 Balears, Illes;Suecia;2017;189
04 Balears, Illes;Suecia;2016;136
04 Balears, Illes;Suecia;2015;93
04 Balears, Illes;Suecia;2014;142
04 Balears, Illes;Suecia;2013;116
04 Balears, Illes;Suecia;2012;100
04 Balears, Illes;Suecia;2011;98
04 Balears, Illes;Suecia;2010;99
